"export","feature","check_method","against","tolerance_class","state","fixture_path","sha256"
"aci_smoother","smoother with a non-zero noise cross-covariance","independent_transcription","an independent MATLAB transcription of the correlated-noise backward loop; no upstream counterpart exists (tests/testthat/test-19-compiled-oracles.R)","numerical_1e-6","checked","tests/testthat/fixtures/oracles/cross_reference.csv","f18754ea1fdd6a73296c4ecaeb13d3f5f1151b038bc69f8119a9b28f103ff608"
"aci_smoother","smoother on the scalar-hidden ENSO partitions","source_derived_comparison","aci 0.0.30 realised coefficients and recursions, reproduced by aciR 0.2.3 on the identical coefficient arrays to 2.11e-15 (tests/testthat/test-28-partition-oracles.R)","numerical_1e-8","checked","tests/testthat/fixtures/oracles/enso6_partition_tau_reference.csv","f5222e2750ae624765da9c4707d6f2eb014843f5e0885cf615544346c3d70caf"
"aci_smoother","smoother on the T_C zeroth-order approximation, literal-defect arm","independent_transcription","an R transcription of ACI_code ENSO_model_cond_ACI_T_C_unobs.m (tests/testthat/test-29-tc-zeroth-order.R)","machine_1e-12","checked","tests/testthat/fixtures/oracles/tc_outputs_caseA_literal.csv","2da46b9248a7b00dc072b5dcac9545352ef9fd6008c8012b40a3ac694f4980d6"
"aci_smoother","terminal boundary: the smoother equals the filter at the final index","exact_relation","an analytic identity of the backward recursion (tests/testthat/test-28-partition-oracles.R, tests/testthat/test-03-engine.R)","machine_1e-12","behavioural_only","",""
"aci_smoother","scalar-state Theorem 3 auxiliaries as vector arithmetic against the per-interval kernels","independent_transcription","the matrix kernels .thmD1_aux_compiled() and .onelag_stats() run one interval at a time on a k = 1 and a k = 5 scalar-hidden record: update factor, gain row, one-lag moments and the backward recursion within 1e-15 (1e-14 for the k = 5 gain row); a non-positive filtered variance reaches the covariance policy by the same route from both, strict abort and one floored event (tests/testthat/test-33-scalar-aux.R)","machine_1e-12","behavioural_only","",""
"aci_online","fixed-lag online smoother moments at 75 sampled (time, observation) pairs","authors_source_comparison","ACI_code dyad_interaction_model.m stored outputs, through the online auxiliaries aci_online() dispatches to (tests/testthat/test-27-online-lag.R)","numerical_1e-6","checked","tests/testthat/fixtures/oracles/cir_online_reference.csv","2133c0655512097f7636439db7da92552e543ecfd5ac382b62f729c32b7b394b"
"aci_online","fixed-lag online smoother with a non-zero noise cross-covariance","independent_transcription","an independent MATLAB transcription of the general auxiliaries; no upstream counterpart exists (tests/testthat/test-19-compiled-oracles.R)","numerical_1e-6","checked","tests/testthat/fixtures/oracles/cir_cross_online_reference.csv","5b71e27f535ab2f933808310318d7092e594f0357ed0e9eff3635bed6fe1b09a"
"aci_online","matrix fixed-lag online smoother, 45 sampled pairs spanning lags from zero to 3949","independent_transcription","an independent MATLAB transcription of the general matrix auxiliaries; the reference implements only the zero-cross-noise specialisation (tests/testthat/test-27-online-lag.R)","numerical_1e-6","checked","tests/testthat/fixtures/oracles/mv_online_reference.csv","c02b23ecbfe69e884fa87d3286a4cb3b3da97bb0719da2c88a8e93c6c85b66ee"
"aci_online","lag zero returns the forward filter moments unchanged","exact_relation","identical() against aci_filter() on both moments (tests/testthat/test-27-online-lag.R)","exact","behavioural_only","",""
"aci_online","a lag of L admits the record through index j + L and no further","exact_relation","the Theorem 3 posterior on the prefix ending at j + L, with the neighbouring prefixes at least a thousand times further away (tests/testthat/test-27-online-lag.R)","machine_1e-12","behavioural_only","",""
"aci_online","the window route reads the scalar auxiliaries","independent_transcription","the same per-interval kernels, update factors and one-lag increments within 1e-15, the lag-25 window path finite (tests/testthat/test-33-scalar-aux.R)","machine_1e-12","behavioural_only","",""
"aci_range","forward range: peak divergence and objective range at 15 report times","authors_source_comparison","ACI_code dyad_interaction_model.m stored outputs, through the streamed forward-CIR kernel aci_range() dispatches to (tests/testthat/test-19-compiled-oracles.R)","numerical_1e-10","checked","tests/testthat/fixtures/oracles/cir_range_reference.csv","f7e258bfda1f00c909451792a3fab58e6009657f0710fdcee663a3c3cd7a1a32"
"aci_range","forward range: subjective range at four thresholds, under both read-out conventions","authors_source_comparison","ACI_code dyad_interaction_model.m stored outputs (tests/testthat/test-19-compiled-oracles.R)","machine_1e-12","checked","tests/testthat/fixtures/oracles/cir_range_reference.csv","f7e258bfda1f00c909451792a3fab58e6009657f0710fdcee663a3c3cd7a1a32"
"aci_range","forward range with a non-zero noise cross-covariance, S_yoS_x = 0.54","independent_transcription","an independent MATLAB transcription; no upstream counterpart exists (tests/testthat/test-19-compiled-oracles.R)","numerical_1e-10","checked","tests/testthat/fixtures/oracles/cir_cross_range_reference.csv","fbbb77290673f691f486bf455805f07230dd672010ff26218ecf3ef62abdc0e6"
"aci_range","exact objective is the threshold average of the counting range","exact_relation","the layer-cake identity, evaluated in closed form rather than by quadrature (tests/testthat/test-23-forward-cir-api.R)","machine_1e-12","behavioural_only","",""
"aci_range","compatibility mode reproduces the reference definitional quadrature","independent_transcription","an independent R transcription of ACI_code simps.m, Vandermonde closure included, in tests/testthat/helper-golden-p1.R (tests/testthat/test-10-golden.R)","machine_1e-12","behavioural_only","",""
"aci_range","argument and direction gates","behavioural","classed aborts on an unknown argument, out-of-range anchors, an even-length epsilon_grid, method and quadrature combinations, an unknown convention, and direction = backward on both methods (tests/testthat/test-03-engine.R, tests/testthat/test-23-forward-cir-api.R, tests/testthat/test-31-gate-liveness.R)","none","behavioural_only","",""
"aci_range","vectorised scalar rows against the cell-by-cell recursion, and the cancellation of a differenced cumulative logarithm","independent_transcription","the per-cell recursion of aci 0.0.30 (.compiled_forward_reduce) transcribed for a scalar state, on a synthetic 100,000-step record of contracting update factors; the differenced record-length cumulative logarithm is shown to breach 1e-12 on the same record where the blocked form stays under 1e-13 (tests/testthat/test-32-scalar-rows.R)","machine_1e-12","behavioural_only","",""
"lag_table","Theorem 3 lagged-divergence table driving the forward range","independent_transcription","the golden P1 R port of ACI_code dyad_interaction_model.m (tests/testthat/test-10-golden.R)","machine_1e-12","behavioural_only","",""
"lag_table","zero-lag diagonal equals the metric and the terminal lag is zero","exact_relation","lt_diag(table) against aci()$aci and aci_metric(smoother, filter)$total (tests/testthat/test-03-engine.R)","machine_1e-12","behavioural_only","",""
"lag_table","adaptive truncation agrees with the full table","behavioural","row-by-row agreement below one percent of the peak diagonal, with truncation shown to engage (tests/testthat/test-03-engine.R)","none","behavioural_only","",""
"lag_table","scalar rows keep the recursion's retained cells, freeze index and tail estimate","independent_transcription","the same transcribed recursion on a 20,001-step record under seven freeze settings, the covariance policy reached by the one non-positive cell (tests/testthat/test-32-scalar-rows.R)","machine_1e-12","behavioural_only","",""
"lt_diag","zero-lag divergences, one per anchor time","exact_relation","equals aci()$aci and aci_metric(smoother, filter)$total (tests/testthat/test-03-engine.R)","machine_1e-12","behavioural_only","",""
"lt_row","one anchor's divergences across increasing positive lag","behavioural","the adaptive and full tables agree row by row, and the rows drive the graded range functionals (tests/testthat/test-03-engine.R, tests/testthat/test-23-forward-cir-api.R)","none","behavioural_only","",""
"lt_tail_bound","truncation tail bound on an adaptively truncated table","behavioural","non-negative at every anchor and below the recorded 1.5e-4 bound on the truncation case (tests/testthat/test-03-engine.R)","none","behavioural_only","",""
"aci_metric","Gaussian relative entropy along a path, with its signal and dispersion split","exact_relation","non-negativity, zero at identity, the decomposition sum and coordinate-freeness under affine maps (tests/testthat/test-01-kl.R)","machine_1e-12","behavioural_only","",""
"aci_metric","agreement with the assimilated ACI series","exact_relation","equals lt_diag(lag_table) and aci()$aci (tests/testthat/test-03-engine.R)","machine_1e-12","behavioural_only","",""
"aci_metric_pair","pairwise Gaussian relative entropy and its decomposition","independent_transcription","the golden P1 R port's own signal and dispersion series, evaluated at the golden moments (tests/testthat/test-10-golden.R)","machine_1e-12","behavioural_only","",""
"aci_metric_pair","one-dimensional closed form against numerical quadrature","exact_relation","the scalar KL integral evaluated by stats::integrate() (tests/testthat/test-01-kl.R)","numerical_1e-6","behavioural_only","",""
"aci_dyad_model","benchmark dyad coefficients and Grammians","authors_source_comparison","ACI_code dyad_interaction_model.m stored outputs; the constructor realises the model the pinned grade runs on (tests/testthat/test-19-compiled-oracles.R)","numerical_1e-6","checked","tests/testthat/fixtures/oracles/dyad_reference.csv","6e7cebd1ccf5b0ac99e9e4ca78f3772c978c0706ae60e976650ae1350cc80090"
"aci_dyad_model","default initial condition and variable roles","behavioural","read against ACI_code dyad_interaction_model.m and asserted (tests/testthat/test-11-model-parity.R)","none","behavioural_only","",""
"aci_predprey_model","noisy predator-prey benchmark, both causal directions","authors_source_comparison","ACI_code noisy_predator_prey_model.m stored outputs (tests/testthat/test-19-compiled-oracles.R)","numerical_1e-6","checked","tests/testthat/fixtures/oracles/predprey_reference_prey_to_predator.csv","09aa718cfcf4fff322d4f720266182e2548da56a625df8ff33cb6c011e5721c7"
"aci_enso_model","joint three-hidden ENSO coefficients and vector recursions","source_derived_comparison","a source-derived harness on an Euler-Maruyama realisation; the reference's own mixed simulation scheme is not reproduced (tests/testthat/test-19-compiled-oracles.R)","numerical_1e-6","checked","tests/testthat/fixtures/oracles/enso_reference.csv","faf981c3149a79a84aaa9a45e4ef094d67ae9736d9f41e7e8a33adeda825e7d8"
"aci_enso_model","scalar-hidden partitions: seasonally modulated affine realisation","source_derived_comparison","aci 0.0.30 realised coefficients and recursions, reproduced by aciR 0.2.3 on the identical coefficient arrays to 2.11e-15 (tests/testthat/test-28-partition-oracles.R)","numerical_1e-8","checked","tests/testthat/fixtures/oracles/enso6_partition_tau_reference.csv","f5222e2750ae624765da9c4707d6f2eb014843f5e0885cf615544346c3d70caf"
"aci_enso_model","the reduced three-channel tau estimand","source_derived_comparison","aci 0.0.30 realised coefficients and recursions, reproduced by aciR 0.2.3 on the identical coefficient arrays to 2.11e-15 (tests/testthat/test-28-partition-oracles.R)","numerical_1e-8","checked","tests/testthat/fixtures/oracles/enso6_partition_tau_reduced3_reference.csv","9650d81a879798c398bbd5b752cae9ea4e37c63d9351909f6b819e0b051dd991"
"aci_enso_model","T_C zeroth-order approximation coefficients, both D1 arms","independent_transcription","an R transcription of ACI_code ENSO_model_cond_ACI_T_C_unobs.m (tests/testthat/test-29-tc-zeroth-order.R)","machine_1e-12","checked","tests/testthat/fixtures/oracles/tc_coefficients_caseA.csv","3f8ca7d0bff627e701678d890494471e4d964aac044be97e612245f752f99ae5"
"aci_enso_model","the omitted gamma_C h_W forcing term, measured on both arms","independent_transcription","an R transcription of ACI_code ENSO_model_cond_ACI_T_C_unobs.m (tests/testthat/test-29-tc-zeroth-order.R)","machine_1e-12","checked","tests/testthat/fixtures/oracles/tc_d1_divergence.csv","c7240dff8f50a0bc13cc1978797a0ddfd4372f9fd5669badd1884e221d5ef8aa"
"aci_enso_model","fixed-state drift coefficients","independent_transcription","an in-test transcription of the ACI_code ENSO drift equations (tests/testthat/test-11-model-parity.R)","machine_1e-12","behavioural_only","",""
"aci_model","generic CGNS model contract on a correlated-noise scalar system","independent_transcription","an independent MATLAB transcription of the published equations with S_yoS_x non-zero; no upstream counterpart exists (tests/testthat/test-19-compiled-oracles.R)","numerical_1e-6","checked","tests/testthat/fixtures/oracles/cross_reference.csv","f18754ea1fdd6a73296c4ecaeb13d3f5f1151b038bc69f8119a9b28f103ff608"
"aci_model","planted contract violations are refused","behavioural","aci_error_model_contract and aci_error_dims on dimension, symmetry and unknown-argument violations (tests/testthat/test-02-models.R)","none","behavioural_only","",""
"aci_model_from_affine","affine drift and diffusion realised once per grid point","exact_relation","the batch and per-point realisers return identical arrays (tests/testthat/test-25-enso6-batch-realiser.R)","exact","behavioural_only","",""
"aci_model_from_affine","realiser identity is sealed against a mutated coefficient function","behavioural","a replaced closure authenticates as nothing and falls back to the generic route (tests/testthat/test-25-enso6-batch-realiser.R)","none","behavioural_only","",""
"aci_linear_model","linear-Gaussian shortcut constructor","behavioural","its documented example under R CMD check, and vignette-2-advanced.Rmd, which builds a model from it. No test-suite assertion and no fixture stands behind this verb.","none","behavioural_only","",""
"aci_simulate","generic entry point to the model simulators","behavioural","its documented example under R CMD check. No test-suite assertion stands behind this verb; the simulate() methods it forwards to are graded in tests/testthat/test-02-models.R, but that grade is not reached through aci_simulate().","none","behavioural_only","",""
"aci_conditional","conditional ACI by model reduction, on the graded reduced tau estimand","source_derived_comparison","the declared reduced run graded against its pinned reference, with the aci_conditional(method = reduce) specification asserted identical() to it (tests/testthat/test-28-partition-oracles.R)","numerical_1e-8","checked","tests/testthat/fixtures/oracles/enso6_partition_tau_reduced3_reference.csv","9650d81a879798c398bbd5b752cae9ea4e37c63d9351909f6b819e0b051dd991"
"aci_conditional","masking and reduction are the same operator on this model","exact_relation","identical() on every coefficient array and every series, not a tolerance (tests/testthat/test-28-partition-oracles.R)","exact","behavioural_only","",""
"aci_conditional","a split needs exactly one non-empty side, and a declared estimand refuses a second","behavioural","aci_error_nontarget on empty, fractional and duplicate indices, and on a second specification over a declared estimand (tests/testthat/test-05-nontarget.R, tests/testthat/test-24-conditional-estimands.R, tests/testthat/test-28-partition-oracles.R)","none","behavioural_only","",""
"aci_conditional","the MATLAB first-slice convention differs from uniform masking only in its first slice","exact_relation","first_step = matlab against first_step = uniform on the h_W partition (tests/testthat/test-24-conditional-estimands.R)","machine_1e-12","behavioural_only","",""
"aci_conditional_reduce","explicit reduction of a model and its observations to the target channels","behavioural","the reduced model and observations carry the reduced dimension and no residual estimand declaration (tests/testthat/test-29-tc-zeroth-order.R). The reduce strategy itself is graded through aci_conditional above.","none","behavioural_only","",""
"observed_trajectory","observation container carrying t, x and dt onto the graded paths","authors_source_comparison","the pinned MATLAB signal every authors-source grade is driven by (tests/testthat/test-19-compiled-oracles.R)","numerical_1e-6","checked","tests/testthat/fixtures/oracles/dyad_signal_x.csv","f2b4d5284e19151432d1e1216619c15e00183704fde4d4ba6e378618a648d602"
"observed_trajectory","observation contract validation","behavioural","aci_error_obs_contract on non-numeric, non-finite and non-increasing inputs (tests/testthat/test-02-models.R)","none","behavioural_only","",""
"as_obs","coercion of a simulation, a matrix or an obs_traj to the observation contract","behavioural","drives the graded compiled paths, and refuses the same inputs observed_trajectory() refuses (tests/testthat/test-02-models.R, tests/testthat/test-15-compiled-scalar.R)","none","behavioural_only","",""
"safe_chol","Cholesky factor with a classed abort on a non-SPD matrix","behavioural","aci_error_spd on an indefinite two-by-two under both covariance policies (tests/testthat/test-26-covariance-policy.R)","none","behavioural_only","",""
"spd_floor","symmetric positive-definite floor","exact_relation","the identity on an SPD input, a factorisable result on an indefinite one, and equality with the internal .sym_floor() on the recursion inputs (tests/testthat/test-16-compiled-matrix.R, tests/testthat/test-26-covariance-policy.R)","exact","behavioural_only","",""
"aci_filter","generic model route reuses one realisation of the coefficient path across verbs, re-probing the closures for captured state","exact_relation","cached and cold realisations agree at tolerance 0, a captured parameter change forces a fresh realisation, the cache is bounded at four entries and can be switched off, the library route adds no entry (tests/testthat/test-33-realiser-cache.R)","exact","behavioural_only","",""
